Produto Planilha,Produto ERP,ID,Ocorrências,Match
"Zomo Seda Unidade","Zomo Seda Unidade",1860011,923,exato
"Dose (Migração de Dados)","Dose (Migração de Dados)",5250001,912,exato
"Dose Dober 700ml","Dose Dober 700ml",2490015,907,exato
"Torcida Pimenta Mexicana 60gr","Torcida Pimenta Mexicana 60gr",2550011,901,exato
"Draft Red 600ml","Draft Red 600ml",1770002,892,exato
"Bala Yogurt","Bala Yogurt",1860013,887,exato
"Del Valle 1l (Migração de Dados)","Del Valle 1l (Migração de Dados)",4140001,865,exato
"Copo Ultra 700ml","Copo Ultra 700ml",690013,850,exato
"Brahma Duplo Malte 350ml","Brahma Duplo Malte 350ml",840001,842,exato
"Dunhill Carlton","Dunhill Carlton",1410006,818,exato
"Coca Cola 2l Retornável","Coca Cola 2l Retornável",630012,814,exato
"Trento (Migração de Dados)","Trento (Migração de Dados)",5220004,762,exato
"Coca Cola 200ml","Coca Cola 200ml",2520007,748,exato
"Heineken 269ml 8 Unidades","Heineken 269ml 8 Unidades",510002,744,exato
"Baly 2l (Migração de Dados)","Baly 2l (Migração de Dados)",4050002,741,exato
"Heineken 269ml","Heineken 269ml",510001,739,exato
"Império Pilsen 269ml","Império Pilsen 269ml",1680001,737,exato
"Poosh!","Poosh!",3360001,734,exato
"Vibe 2l ","Vibe 2l ",660007,721,exato
"Smirnoff Ice Limão 275ml","Smirnoff Ice Limão 275ml",1200002,714,exato
"Halls (Migração de Dados)","Halls (Migração de Dados)",5220009,703,exato
"Marlboro / Dunhill Unidade","Marlboro / Dunhill Unidade",2430002,638,exato
"Spaten 350ml","Spaten 350ml",540020,636,exato
"Amstel 269ml","Amstel 269ml",450001,630,exato
"Zomo Strong Mint","Zomo Strong Mint",1860007,614,exato
"Dolly Guaraná 2l","Dolly Guaraná 2l",4140004,614,exato
"Funchal 2Kg","Funchal 2Kg",2490006,609,exato
"Itaipava 269ml 12 Unidades","Itaipava 269ml 12 Unidades",420001,608,exato
"Heineken 330ml 6 Unidades","Heineken 330ml 6 Unidades",510008,605,exato
"Crystal 1,5l","Crystal 1,5l",810001,594,exato
"Snickers 45gr","Snickers 45gr",1860006,567,exato
"Império Pilsen 269ml 12 Unidades","Império Pilsen 269ml 12 Unidades",1680002,553,exato
"Gomets","Gomets",2040002,551,exato
"Corona Extra 330ml","Corona Extra 330ml",540003,546,exato
"Brahma Duplo Malte 269ml 15 Unidades","Brahma Duplo Malte 269ml 15 Unidades",840004,537,exato
"Frescca Com Gás 510ml","Frescca Com Gás 510ml",750004,525,exato
"Beats GT Lata 269ml","Beats GT Lata 269ml",1110002,520,exato
"Heineken 330ml 0.0% Álcool","Heineken 330ml 0.0% Álcool",1080002,502,exato
"H2OH! 500ml (Migração de Dados)","H2OH! 500ml (Migração de Dados)",5220010,481,exato
"Pérgola Suave 1l","Pérgola Suave 1l",1470005,459,exato
"Budweiser 269ml 8 Unidades","Budweiser 269ml 8 Unidades",870002,456,exato
"Fanta 350ml (Migração de Dados)","Fanta 350ml (Migração de Dados)",4140011,435,exato
"Tiss Guaraná 2l","Tiss Guaraná 2l",2520004,432,exato
"Eisenbahn Ipa 355ml","Eisenbahn Ipa 355ml",1500004,429,exato
"Dose Cavalo Branco (Red Bull)","Dose Cavalo Branco (Red Bull)",2880002,429,exato
"Marlboro Red","Marlboro Red",1380001,419,exato
"Pinheirense 870ml","Pinheirense 870ml",1770004,419,exato
"Guaraná Antarctica 1l","Guaraná Antarctica 1l",3240003,418,exato
"Fumax 500gr","Fumax 500gr",2820001,415,exato
"Funchal 4Kg","Funchal 4Kg",2910011,396,exato
"Budweiser 269ml","Budweiser 269ml",870001,388,exato
"Del Valle 290ml (Migração de Dados)","Del Valle 290ml (Migração de Dados)",4140002,386,exato
"Gatorade (Migração de Dados) ","Gatorade (Migração de Dados) ",5220008,382,exato
"Lays Classica 70gr","Lays Classica 70gr",2640009,381,exato
"Brahma Duplo Malte 269ml","Brahma Duplo Malte 269ml",840003,373,exato
"Coca Cola 600ml","Coca Cola 600ml",660002,372,exato
"Fini Morango 15gr","Fini Morango 15gr",2730014,369,exato
"Passatempo Chocolate 130gr","Passatempo Chocolate 130gr",2730005,369,exato
"Colorado Appia 350ml","Colorado Appia 350ml",1800003,362,exato
"Cheetos Onda Requeijão 105gr","Cheetos Onda Requeijão 105gr",1740001,359,exato
"Corote 500ml","Corote 500ml",3480001,356,exato
"Spaten 269ml","Spaten 269ml",540018,348,exato
"Coca Cola 2l Zero Açúcar","Coca Cola 2l Zero Açúcar",570002,340,exato
"Guaraná Antarctica 200ml","Guaraná Antarctica 200ml",2520006,339,exato
"Nissin (Migração de Dados)","Nissin (Migração de Dados)",5220006,338,exato
"Doritos Queijo Nacho 37gr","Doritos Queijo Nacho 37gr",1740004,332,exato
"Bic Pequeno","Bic Pequeno",2850001,329,exato
"Budweiser 330ml","Budweiser 330ml",870004,327,exato
"Petra 269ml","Petra 269ml",420004,324,exato
"Guaraná Antarctica 350ml","Guaraná Antarctica 350ml",660005,315,exato
"Dose Jack Daniel's  700ml","Dose Jack Daniel's  700ml",1980002,313,exato
"Hocus Pocus (Migração de Dados)","Hocus Pocus (Migração de Dados)",4050001,312,exato
"Sonho de Valsa 20gr","Lacta Sonho de Valsa 20gr",1890002,303,parcial
"Cabaré Ice Limão 275ml","Cabaré Ice Limão 275ml",1230008,300,exato
"Heineken 350ml","Heineken 350ml",510005,299,exato
"Doritos Queijo Nacho 75gr","Doritos Queijo Nacho 75gr",1740003,298,exato
"Ruffles Original 68gr","Ruffles Original 68gr",2640003,295,exato
"Beats Senses Lata 269ml","Beats Senses Lata 269ml",1110001,288,exato
"Cup Noodles (Migração de Dados)","Cup Noodles (Migração de Dados)",4200007,288,exato
"Coco Quadrado 1l","Coco Quadrado 1l",1260012,283,exato
"Rothmans Double Click","Rothmans Double Click",1410007,272,exato
"Trakinas Chocolate 126gr","Trakinas Chocolate 126gr",2730008,271,exato
"Petra 269ml 12 Unidades","Petra 269ml 12 Unidades",420005,266,exato
"Milka (Migração de Dados)","Milka (Migração de Dados)",5220005,263,exato
"Spaten 269ml 8 Unidades","Spaten 269ml 8 Unidades",540019,258,exato
"Coca Cola 2l Retornável Zero Açúcar","Coca Cola 2l Retornável Zero Açúcar",630013,258,exato
"Eternity (Migração de Dados)","Eternity (Migração de Dados)",5220001,256,exato
"Maguary (Migração de Dados)","Maguary (Migração de Dados)",5220013,253,exato
"Coca Cola 350ml Zero Açucar","Coca Cola 350ml Zero Açucar",600002,243,exato
"Sprite 2l","Sprite 2l",1140006,242,exato
"Bic Grande","Bic Grande",2850002,239,exato
"Eisenbahn Pilsen 350ml","Eisenbahn Pilsen 350ml",1500005,236,exato
"Dose Red Label 700ml","Dose Red Label 700ml",3030003,234,exato
"Jack Paiol's Dourado","Jack Paiol's Dourado",1410011,232,exato
"Santomé Suave 1l","Santomé Suave 1l",1470002,228,exato
"Corona Extra 330ml 6 Unidades","Corona Extra 330ml 6 Unidades",540004,220,exato
"Dose Beats GT 700ml","Dose Beats GT 700ml",2940002,218,exato
"Twix 15gr","Twix 15gr",3210004,215,exato
"Dose 50ml Jack Daniel's","Dose 50ml Jack Daniel's",3000005,213,exato
"Velho Barreiro 910ml","Velho Barreiro 910ml",2280011,211,exato
"Sprite 350ml","Sprite 350ml",1170001,205,exato
"Heineken 330ml 0.0% Álcool 6 Unidades","Heineken 330ml 0.0% Álcool 6 Unidades",1080003,204,exato
"Spaten 330ml","Spaten 330ml",540022,203,exato
"Skol 350ml","Skol 350ml",3540002,202,exato
"Palheiro Unidade","Palheiro Unidade",3000001,202,exato
"Tônica Antarctica 350ml","Tônica Antarctica 350ml",2070029,202,exato
"Elma Chips Ovinhos 65gr","Elma Chips Ovinhos 65gr",1830017,202,exato
"Cheetos Onda Requeijão 45gr","Cheetos Onda Requeijão 45gr",1740002,201,exato
"Doritos Queijo Nacho 120gr","Doritos Queijo Nacho 120gr",2580001,193,exato
"Pepsi Twist 2l","Pepsi Twist 2l",1170003,192,exato
"Schweppes 350ml","Schweppes 350ml",1140004,191,exato
"Amsterdam 25gr","Amsterdam 25gr",1590001,182,exato
"Brahma Duplo Malte 350ml 12 Unidades","Brahma Duplo Malte 350ml 12 Unidades",840002,180,exato
"Red Label 1l","Red Label 1l",1740017,177,exato
"Stella Artois 269ml","Stella Artois 269ml",990005,170,exato
"Cantinho do Vale 2l","Cantinho do Vale 2l",2280006,170,exato
"Moema 350ml","Moema 350ml",1650005,169,exato
"Kapo (Migração de Dados)","Kapo (Migração de Dados)",5250007,165,exato
"Dose 50ml Chanceler","Dose 50ml Chanceler",3030005,163,exato
"Schweppes 1,5l","Schweppes 1,5l",1140002,163,exato
"Mansão Maromba (Migração de Dados)","Mansão Maromba (Migração de Dados)",4140006,162,exato
"Coca Cola 1l Zero Açucar","Coca Cola 1l Zero Açucar",630009,161,exato
"Pringles Original 104gr","Pringles Original 104gr",1740008,160,exato
"Rock's (Migração de Dados)","Rock's (Migração de Dados)",5220002,159,exato
"Canelinha Da Rocha 900ml","Canelinha Da Rocha 900ml",1680009,158,exato
"White Horse 1l","White Horse 1l",2070042,158,exato
"51 Ice Limão 275ml","51 Ice Limão 275ml",1230003,157,exato
"Powerade Uva 500ml","Powerade Uva 500ml",2070016,157,exato
"Girls In Green Super Large","Girls In Green Super Large",1590009,156,exato
"Becks 330ml","Becks 330ml",2070008,154,exato
"Coca Cola 1,5l Zero Açucar","Coca Cola 1,5l Zero Açucar",4200004,154,exato
"Pepsi Black 2l","Pepsi Black 2l",1170004,152,exato
"Original 269ml 15 Unidades","Original 269ml 15 Unidades",540015,146,exato
"Heineken 250ml","Heineken 250ml",510003,146,exato
"Papelito Tradicional","Papelito Tradicional",1590007,142,exato
"Baralho (Migração de Dados)","Baralho (Migração de Dados)",5220003,141,exato
"Vulcan Alumínio 50 Folhas","Vulcan Alumínio 50 Folhas",1860001,139,exato
"Jurupinga 975ml","Jurupinga 975ml",1470010,139,exato
"Heineken 350ml 0.0% Álcool","Heineken 350ml 0.0% Álcool",510012,134,exato
"Jack Daniel's Nº 07 1l","Jack Daniel's Nº 07 1l",1740020,131,exato
"Budweiser 350ml 0,0% Álcool","Budweiser 350ml 0,0% Álcool",930001,130,exato
"Acrema 20gr","Acrema 20gr",1860005,129,exato
"Rosh Vuelta","Rosh Vuelta",1860003,127,exato
"Garoto Pastilha Hortelã 17gr","Garoto Pastilha Hortelã 17gr",2130004,126,exato
"Amstel 350ml","Amstel 350ml",2790001,125,exato
"Marlboro Ice Burst","Marlboro Ice Burst",1410001,124,exato
"Soda 2l","Soda 2l",2070033,124,exato
"Baden Baden Ipa 350ml","Baden Baden Ipa 350ml",2040010,123,exato
"Império Pilsen 269ml 15 Unidades","Império Pilsen 269ml 15 Unidades",1680004,120,exato
"Dose Old Parr 700ml","Dose Old Parr 700ml",3030001,118,exato
"Cebolitos 91gr","Cebolitos 91gr",2700005,117,exato
"Coca Cola com Café 220ml","Coca Cola com Café 220ml",4020001,114,exato
"Corona Cero Sunbrew 330ml 0.0%","Corona Cero Sunbrew 330ml 0.0%",540005,113,exato
"Dom Bosco Suave 750ml","Dom Bosco Suave 750ml",2970008,113,exato
"Lays Classica 35gr","Lays Classica 35gr",2640010,105,exato
"Amor Sings Paçoca 18gr","Amor Sings Paçoca 18gr",3210005,104,exato
"Kuat 2l","Kuat 2l",3510002,103,exato
"Zomo Alfafa Slim","Zomo Alfafa Slim",1590002,103,exato
"Stella Artois 330ml","Stella Artois 330ml",990001,103,exato
"Paratudo 900ml","Paratudo 900ml",1680008,102,exato
"Colorado Indica 350ml","Colorado Indica 350ml",3450002,101,exato
"Predator 50 Folhas","Predator 50 Folhas",1560002,100,exato
"Djarum Black (Migração de Dados)","Djarum Black (Migração de Dados)",5220017,98,exato
"Dose Rock's 700ml","Dose Rock's 700ml",1980001,98,exato
"Budweiser 330ml 0,0% Álcool","Budweiser 330ml 0,0% Álcool",930003,97,exato
"Selvagem 900ml","Selvagem 900ml",2250011,96,exato
"Lagunitas Ipa 355ml","Lagunitas Ipa 355ml",5220007,92,exato
"Fanta Laranja 2l Retornável","Fanta Laranja 2l Retornável",630014,91,exato
"Pepsi 2l","Pepsi 2l",1170002,91,exato
"L&M Blue First Cut","L&M Blue First Cut",1380003,91,exato
"Italac Leite Integral 1l","Italac Leite Integral 1l",2130002,90,exato
"Coca Cola 310ml","Coca Cola 310ml",630002,90,exato
"L&M Red First Cut","L&M Red First Cut",1380002,87,exato
"Blue Moon 355ml","Blue Moon 355ml",1680006,86,exato
"Dose Jack Apple 700ml","Dose Jack Apple 700ml",3960001,86,exato
"Dober Dry 900ml","Dober Dry 900ml",2490014,86,exato
"Smirnoff 998ml","Smirnoff 998ml",2190003,85,exato
"Itubaína 350ml","Itubaína 350ml",2070034,84,exato
"Pay Pay GoGreen Slim ","Pay Pay GoGreen Slim ",1590004,84,exato
"Campari 998ml","Campari 998ml",1680010,83,exato
"Eisenbahn Session Ipa 355ml","Eisenbahn Session Ipa 355ml",1500003,83,exato
"Smoking Brown","Smoking Brown",1590010,82,exato
"Chanceler 1l","Chanceler 1l",690012,81,exato
"Bem Bolado Slim","Bem Bolado Slim",3210002,78,exato
"Ypióca Ouro 965ml","Ypióca Ouro 965ml",2970006,76,exato
"Heineken 269ml 0.0% Álcool","Heineken 269ml 0.0% Álcool",510010,76,exato
"Brahma Chopp 269ml","Brahma Chopp 269ml",2010001,76,exato
"Borracha Rosh","Borracha Rosh",3060002,76,exato
"King Blunt","King Blunt",2130011,76,exato
"Eisenbahn Pilsen 355ml","Eisenbahn Pilsen 355ml",1500001,74,exato
"Italac Leite Condesado 395gr","Italac Leite Condesado 395gr",2130003,74,exato
"Fogareiro Pequeno","Fogareiro Pequeno",2790005,74,exato
"Beats Red Mix Lata 269ml","Beats Red Mix Lata 269ml",1110003,74,exato
"Bauduco Chocolate Wafer 140gr","Bauduco Chocolate Wafer 140gr",2730002,73,exato
"Fumax 1Kg","Fumax 1Kg",2820002,73,exato
"Tanqueray London Dry 750ml","Tanqueray London Dry 750ml",1950001,73,exato
"Heineken 250ml 6 Unidades","Heineken 250ml 6 Unidades",510004,73,exato
"Coronita Extra 210ml","Coronita Extra 210ml",540001,73,exato
"Colorado 600ml (Migração de Dados)","Colorado 600ml (Migração de Dados)",4140007,72,exato
"Fandangos Presunto 105gr","Fandangos Presunto 105gr",1740005,72,exato
"Beats Caipirinha Lata 269ml","Beats Caipirinha Lata 269ml",4080002,70,exato
"Coca Cola 1l","Coca Cola 1l",630010,70,exato
"Coca Cola 310ml Zero Açucar","Coca Cola 310ml Zero Açucar",630001,70,exato
"Elma Chips Japonês 145gr","Elma Chips Japonês 145gr",2670008,70,exato
"M&M's 35gr","M&M's 35gr",2130007,69,exato
"Guaraná Antarctica 2l Zero","Guaraná Antarctica 2l Zero",660004,69,exato
"Askov 900ml","Askov 900ml",2310008,68,exato
"Eisenbahn Ale 355ml","Eisenbahn Ale 355ml",3480005,67,exato
"Brahma Chopp 350ml","Brahma Chopp 350ml",2010003,67,exato
"Seasons (Migração de Dados)","Seasons (Migração de Dados)",4170004,63,exato
"Old Parr 12 Anos 1l","Old Parr 12 Anos 1l",3000004,63,exato
"Goose Island Ipa 355ml","Goose Island Ipa 355ml",5220019,61,exato
"Dose 50ml Cavalo Branco","Dose 50ml Cavalo Branco",3030006,61,exato
"Império Lager 275ml","Império Lager 275ml",2280008,61,exato
"Cricket Grande","Cricket Grande",2850003,61,exato
"Heineken 350ml 12 Unidades","Heineken 350ml 12 Unidades",510006,60,exato
"Budweiser 330ml 6 Unidades","Budweiser 330ml 6 Unidades",900001,60,exato
"Dreher 900ml","Dreher 900ml",2190002,59,exato
"Cheetos Mix 82gr","Cheetos Mix 82gr",2700001,56,exato
"Heineken 269ml 0.0% Álcool 8 Unidades","Heineken 269ml 0.0% Álcool 8 Unidades",510011,55,exato
"Cebolitos 36gr","Cebolitos 36gr",2700004,55,exato
"Batom DouBranco 16gr","Batom DouBranco 16gr",2130006,54,exato
"Juan Caloto (Migração de Dados)","Juan Caloto (Migração de Dados)",4140012,53,exato
"Vody 950ml","Vody 950ml",2310006,53,exato
"Xeque Mate 362ml","Xeque Mate 362ml",1200001,52,exato
"43 700ml","43 700ml",2250007,52,exato
"Gold Label 750ml","Gold Label 750ml",2280001,52,exato
"Schornstein (Migração de Dados)","Schornstein (Migração de Dados)",4170003,51,exato
"Gudang Garam Cravo","Gudang Garam Cravo",1410009,51,exato
"Montilla Carta Ouro 1l","Montilla Carta Ouro 1l",2490003,50,exato
"Nusakinho Morango 500ml","Nusakinho Morango 500ml",3240006,50,exato
"Ballantine's Finest 1l","Ballantine's Finest 1l",2280003,49,exato
"Rothmans Red Global","Rothmans Red Global",1410004,48,exato
"51 Ouro 965ml","51 Ouro 965ml",2490005,46,exato
"Furador","Furador",3330004,46,exato
"Itaipava 350ml","Itaipava 350ml",420006,45,exato
"Dose Black Label 700ml","Dose Black Label 700ml",3030004,45,exato
"Beats Tropical Lata 269ml","Beats Tropical Lata 269ml",1110004,44,exato
"São Francisco 970ml","São Francisco 970ml",2340001,44,exato
"Corona Extra 350ml","Corona Extra 350ml",540009,43,exato
"Pettiz 50gr","Pettiz 50gr",1830014,43,exato
"Balalaika 1l","Balalaika 1l",2430006,43,exato
"Wienbier (Migração de Dados)","Wienbier (Migração de Dados)",4110002,42,exato
"Baden Baden Peach 600ml","Baden Baden Peach 600ml",2940005,41,exato
"Beefeater Dry 750ml","Beefeater Dry 750ml",1950002,40,exato
"Ruffles Original 115gr","Ruffles Original 115gr",2640001,40,exato
"Bem Bolado Hemp","Bem Bolado Hemp",1590006,38,exato
"Jack Daniel's Apple 1l","Jack Daniel's Apple 1l",1740019,37,exato
"Coronita Extra 210ml 6 Unidades","Coronita Extra 210ml 6 Unidades",540002,37,exato
"Leuven (Migração de Dados)","Leuven (Migração de Dados)",4140005,36,exato
"Patagonia Ipa 350ml","Patagonia Ipa 350ml",2040004,35,exato
"Hot Coco 56 Peças","Hot Coco 56 Peças",1560004,34,exato
"Ruffles Original 32gr","Ruffles Original 32gr",2640002,34,exato
"Sprite Sem Açucar 2l","Sprite Sem Açucar 2l",1140005,34,exato
"Black Label 1l","Black Label 1l",1740018,30,exato
"Pérgola Bordô 1l","Pérgola Bordô 1l",1470004,29,exato
"Bob Pinga 975ml","Bob Pinga 975ml",2520003,29,exato
"Lacta Shot 80gr","Lacta Shot 80gr",1890012,29,exato
"Heineken 5l","Heineken 5l",510009,28,exato
"Dose Ballantine's 700ml (Red Bull)","Dose Ballantine's 700ml (Red Bull)",3360003,28,exato
"Fogareiro Médio","Fogareiro Médio",2790006,28,exato
"Dose 50ml Black Label","Dose 50ml Black Label",3030007,27,exato
"Furador + Garfo","Furador + Garfo",3330003,26,exato
"Buchanan's 12 Anos 1l","Buchanan's 12 Anos 1l",2190006,26,exato
"Marlboro Tropical Fusion ","Marlboro Tropical Fusion ",1320001,26,exato
"Patagonia Ipa 355ml","Patagonia Ipa 355ml",3450003,25,exato
"Italac Creme de Leite 200gr","Italac Creme de Leite 200gr",2130001,25,exato
"Black & White 1l","Black & White 1l",5220015,25,exato
"Jameson 750ml","Jameson 750ml",2430005,25,exato
"Baden Baden Ipa 600ml","Baden Baden Ipa 600ml",2970001,25,exato
"Bem Bolado Piteira Lager ","Bem Bolado Piteira Lager ",3210003,24,exato
"Absolut 1l","Absolut 1l",3060026,24,exato
"Jack Daniel's Honey 1l","Jack Daniel's Honey 1l",1740021,24,exato
"Blue Moon 350ml","Blue Moon 350ml",1680007,24,exato
"Lacta Sonho de Valsa 98gr","Lacta Sonho de Valsa 98gr",1890013,24,exato
"Vermelhão 700ml","Vermelhão 700ml",5220018,23,exato
"Pack Copo 150ml","Pack Copo 150ml",5250004,23,exato
"Ballantine's 12 Anos 1l","Ballantine's 12 Anos 1l",3090008,23,exato
"Bis Original 100,8gr","Bis Original 100,8gr",1710002,23,exato
"Pitu 965ml","Pitu 965ml",2460001,22,exato
"Budweiser 330ml 0,0% Álcool 6 Unidades","Budweiser 330ml 0,0% Álcool 6 Unidades",930004,22,exato
"Beck's 350ml","Beck's 350ml",2070009,22,exato
"Fireball 750ml","Fireball 750ml",3120006,21,exato
"Unicorn (Migração de Dados)","Unicorn (Migração de Dados)",4290001,21,exato
"Minalba 1,5l","Minalba 1,5l",750001,21,exato
"Petra 350ml","Petra 350ml",420002,21,exato
"Frescca 510ml 12 Unidades","Frescca 510ml 12 Unidades",4200009,20,exato
"Ballena 750ml","Ballena 750ml",2220002,20,exato
"Baconzitos 86gr","Baconzitos 86gr",3540001,20,exato
"Baden Baden Witbier 350ml","Baden Baden Witbier 350ml",2040009,20,exato
"Michelob 350ml","Michelob 350ml",1800002,20,exato
"Coca Cola 1,5l","Coca Cola 1,5l",630011,20,exato
"7 Belo 40gr","7 Belo 40gr",2100007,20,exato
"H2OH! 1,5l (Migração de Dados)","H2OH! 1,5l (Migração de Dados)",5220011,20,exato
"Bohemia 269ml","Bohemia 269ml",4740001,19,exato
"Stella Artois 330ml 6 Unidades","Stella Artois 330ml 6 Unidades",990002,19,exato
"Reobote Cajuína 500ml","Reobote Cajuína 500ml",3240005,19,exato
"Passport Selection 1l","Passport Selection 1l",2310007,19,exato
"Dose Tanqueray 700ml","Dose Tanqueray 700ml",1950009,19,exato
"Dose 50ml Red Label","Dose 50ml Red Label",3030008,18,exato
"Santomé Seco 1l","Santomé Seco 1l",1470003,18,exato
"Dose Malibu 700ml","Dose Malibu 700ml",2520002,18,exato
"Caracu 350ml","Caracu 350ml",2070039,17,exato
"Baden Baden Golden 600ml","Baden Baden Golden 600ml",4110001,17,exato
"Malibu  750ml","Malibu  750ml",2520001,17,exato
"Crystal Com Gás 1,5l","Crystal Com Gás 1,5l",3390001,17,exato
"Jose Cuervo Gold 750ml","Jose Cuervo Gold 750ml",3060042,16,exato
"Jameson Ipa 750ml","Jameson Ipa 750ml",3330001,16,exato
"Dark Horse Slim","Dark Horse Slim",4560001,16,exato
"Beats Green Mix Garrafa 269ml","Beats Green Mix Garrafa 269ml",2040013,16,exato
"Fumax 500","Fumax 500gr",2820001,16,parcial
"Eisenbahn Pilsen 269ml","Eisenbahn Pilsen 269ml",4710001,15,exato
"Bacardí Big Apple 700ml","Bacardí Big Apple 700ml",2280013,15,exato
"Pérgola Branco Suave 1l","Pérgola Branco Suave 1l",1470007,15,exato
"Ciroc 750ml","Ciroc 750ml",3060031,15,exato
"Dose Passport 700ml","Dose Passport 700ml",3180001,14,exato
"Pérgola Tinto Seco 1l","Pérgola Tinto Seco 1l",1470008,14,exato
"Budweiser 350ml","Budweiser 350ml",960001,14,exato
"Pepsi Black 350ml","Pepsi Black 350ml",1170006,14,exato
"Fandangos Presunto 37gr","Fandangos Presunto 37gr",1740006,14,exato
"Minalba Com Gás 1,5l","Minalba Com Gás 1,5l",750003,14,exato
"Amstel Ultra 269ml","Amstel Ultra 269ml",480001,14,exato
"Cabaré Amburana 700ml","Cabaré Amburana 700ml",2310002,13,exato
"Chivas 12 Anos 1l","Chivas 12 Anos 1l",2280002,13,exato
"Buchanan's 12 Anos 750ml","Buchanan's 12 Anos 750ml",2370001,13,exato
"Pérgola Suave 750ml","Pérgola Suave 750ml",1470009,13,exato
"Pepsi 350ml","Pepsi 350ml",1170005,13,exato
"Heineken 350ml 0.0% Álcool 12 Unidades","Heineken 350ml 0.0% Álcool 12 Unidades",510013,12,exato
"Spaten 330ml 6 Unidades","Spaten 330ml 6 Unidades",540023,12,exato
"Pack Copo 700ml","Pack Copo 700ml",5250003,12,exato
"Seagers Dry 1l","Seagers Dry 1l",1950005,12,exato
"Soda 350ml","Soda 350ml",2070031,12,exato
"Fanta Laranja 600ml","Fanta Laranja 600ml",660001,12,exato
"Corona Extra 269ml","Corona Extra 269ml",540007,12,exato
"Cabaré Fire 1l","Cabaré Fire 1l",2490002,11,exato
"Amstel 350ml 12 Unidades","Amstel 350ml 12 Unidades",2790002,11,exato
"Jagermeister 700ml","Jagermeister 700ml",3090001,11,exato
"Antarctica 350ml","Antarctica 350ml",2880001,11,exato
"Dose Buchanan's 700ml","Dose Buchanan's 700ml",4200001,11,exato
"Orloff 1l","Orloff 1l",3600001,11,exato
"Fanta Laranja Zero Açucar 2l","Fanta Laranja Zero Açucar 2l",630015,11,exato
"Budweiser 350ml 0,0% Álcool 8 Unidades","Budweiser 350ml 0,0% Álcool 8 Unidades",930002,10,exato
"Colorado 350ml (Migração de Dados)","Colorado 350ml (Migração de Dados)",4140008,10,exato
"Bombay Sapphire Dry 750ml","Bombay Sapphire Dry 750ml",2250003,10,exato
"Buffalo Trace 750ml","Buffalo Trace 750ml",3060020,10,exato
"Kit Mangueira","Kit Mangueira",4890001,10,exato
"Original 350ml","Original 350ml",540016,10,exato
"Gentleman Jack 1l","Gentleman Jack 1l",3060016,9,exato
"Lagunitas Ipa 350ml","Lagunitas Ipa 350ml",2040007,9,exato
"Marilan 350gr","Marilan 350gr",4800001,9,exato
"Minalba Com Gás 510ml","Minalba Com Gás 510ml",750002,9,exato
"Smirnoff Ice Green Apple 269ml","Smirnoff Ice Green Apple 269ml",1680013,9,exato
